"DateTime","Middelvind","Højeste 10 min. middel","Højeste vindstød"
"2023-10-01 00:00:00",2.4,5.9,9.1
"2023-10-02 00:00:00",3,6.6,9.6
"2023-10-03 00:00:00",4.8,12.4,19
"2023-10-04 00:00:00",5.5,10.9,16.5
"2023-10-05 00:00:00",4.1,10.3,17.4
"2023-10-06 00:00:00",6.6,13.2,19.9
"2023-10-07 00:00:00",4.4,12.7,19.1
"2023-10-08 00:00:00",1.2,5.1,6.8
"2023-10-09 00:00:00",1.9,5.6,7.7
"2023-10-10 00:00:00",3.2,6.9,11
"2023-10-11 00:00:00",6,11.2,17.5
"2023-10-12 00:00:00",3.5,8.1,13.3
"2023-10-13 00:00:00",5.1,16.3,25.3
"2023-10-14 00:00:00",6.1,13.2,20.6
"2023-10-15 00:00:00",4.5,10.3,16.9
"2023-10-16 00:00:00",2.4,7.8,10.7
"2023-10-17 00:00:00",2,6.1,8.7
"2023-10-18 00:00:00",2.2,9,12.8
"2023-10-19 00:00:00",8.2,14.9,21.5
"2023-10-20 00:00:00",10.2,19.1,27.5
"2023-10-21 00:00:00",4.9,15.7,22.2
"2023-10-22 00:00:00",3.3,8.8,12.8
"2023-10-23 00:00:00",2,5.9,8.7
"2023-10-24 00:00:00",3.5,10,14.2
"2023-10-25 00:00:00",3.6,7.4,9.6
"2023-10-26 00:00:00",3.5,8.5,11.7
"2023-10-27 00:00:00",3.9,7.6,10.3
"2023-10-28 00:00:00",4.4,8.6,11.8
"2023-10-29 00:00:00",5.3,11.3,17.3
"2023-10-30 00:00:00",5.1,9.9,16.3
"2023-10-31 00:00:00",2.9,9.5,12.7
