"DateTime","Middelvind","Højeste 10 min. middel","Højeste vindstød"
"2023-10-01 00:00:00",4.4,8.5,10.9
"2023-10-02 00:00:00",4,7.5,9.6
"2023-10-03 00:00:00",7.6,18,23.2
"2023-10-04 00:00:00",9.1,15.8,19.9
"2023-10-05 00:00:00",7.1,16.6,20.6
"2023-10-06 00:00:00",9.5,15.8,19.6
"2023-10-07 00:00:00",6.6,17.3,22.7
"2023-10-08 00:00:00",2,6.8,8.8
"2023-10-09 00:00:00",2.8,8.5,10.3
"2023-10-10 00:00:00",4.5,8.8,10.5
"2023-10-11 00:00:00",8.5,13.7,17
"2023-10-12 00:00:00",6.3,13,15.8
"2023-10-13 00:00:00",8,15.8,19.3
"2023-10-14 00:00:00",9.8,17.1,24.5
"2023-10-15 00:00:00",9.2,16.2,20.3
"2023-10-16 00:00:00",4.5,8.9,12.7
"2023-10-17 00:00:00",4.1,8.6,10.5
"2023-10-18 00:00:00",3.3,10.1,12
"2023-10-19 00:00:00",11.2,18,23
"2023-10-20 00:00:00",14.6,22.1,28.7
"2023-10-21 00:00:00",6.8,22.1,27.1
"2023-10-22 00:00:00",5.4,11.3,13.8
"2023-10-23 00:00:00",3.8,8.7,10.2
"2023-10-24 00:00:00",7.1,14.9,18.4
"2023-10-25 00:00:00",2.9,10.8,13.1
"2023-10-26 00:00:00",7.1,10.8,15
"2023-10-27 00:00:00",5.9,8.5,12
"2023-10-28 00:00:00",6.3,11.1,13
"2023-10-29 00:00:00",7.9,13,15.5
"2023-10-30 00:00:00",6.9,13.2,16.1
"2023-10-31 00:00:00",5,10.3,14.5
