"DateTime","Middelvind","Højeste 10 min. middel","Højeste vindstød"
"2023-10-01 00:00:00",3.6,6.2,8.1
"2023-10-02 00:00:00",3.9,7.5,9
"2023-10-03 00:00:00",7.1,18,22
"2023-10-04 00:00:00",8.1,11.7,16.8
"2023-10-05 00:00:00",6.4,12.7,16.2
"2023-10-06 00:00:00",8.4,13.3,19.6
"2023-10-07 00:00:00",6.4,14.6,20.7
"2023-10-08 00:00:00",1.8,5.6,7.9
"2023-10-09 00:00:00",2.2,7.3,9.4
"2023-10-10 00:00:00",4,8.6,10.5
"2023-10-11 00:00:00",7.9,12.9,17
"2023-10-12 00:00:00",6,10.7,15.6
"2023-10-13 00:00:00",7.4,14.3,19.3
"2023-10-14 00:00:00",8.9,14.7,20.7
"2023-10-15 00:00:00",8.3,12.1,17.6
"2023-10-16 00:00:00",4.3,8.2,12.2
"2023-10-17 00:00:00",3.8,7.6,10.1
"2023-10-18 00:00:00",3.3,10.1,12
"2023-10-19 00:00:00",12.3,18.1,23
"2023-10-20 00:00:00",14.8,22.1,28.7
"2023-10-21 00:00:00",7.6,22.2,27.2
"2023-10-22 00:00:00",4.8,9.1,12.2
"2023-10-23 00:00:00",3.6,6.8,9.4
"2023-10-24 00:00:00",8.1,15,18.5
"2023-10-25 00:00:00",4.1,10.9,15.1
"2023-10-26 00:00:00",6.7,10.8,15
"2023-10-27 00:00:00",5.3,7.6,10.7
"2023-10-28 00:00:00",6.6,11.1,13
"2023-10-29 00:00:00",7.7,13,15.5
"2023-10-30 00:00:00",6.2,10.5,14
"2023-10-31 00:00:00",4.8,9.5,14.6
